,id,c_x0,c_x1,c_x2,c_y0,c_y1,c_y2,c_z0,c_z1,c_z2,residuals_x,residuals_y,residuals_z
0,1,0.14799254565156372,-7.338307988845808e-19,-1.0390715192549704e-09,0.14799296324075265,-0.0008924358031219593,-3.386062980093127e-05,0.3668909162954052,-0.006068338226376436,3.3521496588690206e-05,1.1784877823535664e-22,3.2883339885954396e-06,3.639707883132403e-08
1,2,0.0028403238557786065,-1.1111096071028427e-05,2.9656050404635613e-08,0.002840323876733608,4.454298164996008e-05,5.347730828629359e-08,0.0009126102523798384,4.289239388096118e-05,-8.312969901880365e-08,1.6493312865339027e-14,3.5248937362030866e-14,2.4253799692867548e-17
2,3,0.004871061555812727,-2.329631643821451e-05,7.67048072546467e-08,0.004871061635863446,7.878453662601315e-05,1.2029536894213322e-07,0.001638061774756914,7.479899298497305e-05,-1.9698964578655353e-07,1.6459699835224697e-13,2.9372476934408285e-13,4.6256310258535655e-14
3,4,0.00957684522899564,-5.8637077247776936e-05,2.398187288127484e-07,0.009576845637228507,0.00016390027512597994,3.4061518069621976e-07,0.003623494987890763,0.00014856651545949953,-5.8047071382672e-07,2.0669959905751474e-12,5.0385178411810545e-12,5.35555908928339e-12
4,5,0.02237398069119525,-0.00015723168071127847,4.2961469096930026e-07,0.0223739831455342,0.00043186565754348074,1.3892762643064852e-06,0.012870812244391617,0.00028170959837812813,-1.8224306634561337e-06,1.3025269912372036e-11,2.1747905817248442e-10,6.586863634273364e-10
5,6,0.03855348134398536,-1.1350241493207625e-19,-1.6149774960791894e-06,0.038553501729827085,0.0008307131180120701,3.6119772682851117e-06,0.03576400517694108,0.0001561053723504544,-2.0109763016615744e-06,5.327779940363866e-14,2.071866865443949e-09,3.937414764021188e-09
6,7,0.02237398069119527,0.00015723168071127847,4.296146909690292e-07,0.0223739831455342,0.00043186565754348074,1.3892762643064852e-06,0.012870812244391626,0.00028170959837812775,-1.8224306634561337e-06,1.3025269912547646e-11,2.174790581723414e-10,6.58686363426993e-10
7,8,0.009576845228995639,5.863707724777698e-05,2.3981872881248415e-07,0.009576845637228505,0.00016390027512598005,3.406151806963553e-07,0.0036234949878907754,0.00014856651545949894,-5.804707138267471e-07,2.066995990569227e-12,5.0385178411701186e-12,5.3555590892834876e-12
8,9,0.00487106155581273,2.3296316438214463e-05,7.670480725471447e-08,0.004871061635863446,7.878453662601314e-05,1.2029536894213322e-07,0.0016380617747569091,7.479899298497324e-05,-1.9698964578655353e-07,1.6459699833364669e-13,2.937247693404837e-13,4.625631025701871e-14
9,10,0.0028403238557786104,1.1111096071028417e-05,2.96560504046678e-08,0.002840323876733609,4.4542981649960004e-05,5.347730828625971e-08,0.00091261025237981,4.289239388096232e-05,-8.312969901881043e-08,1.6493312855601814e-14,3.524893735983186e-14,2.425379972303255e-17
10,11,0.14799254565156372,-5.754044116799028e-19,-1.0390715192549704e-09,0.14799297866840472,-0.0027337854619485856,3.352149658869194e-05,0.10861535297624751,0.00247585225672711,-3.3860629800932466e-05,1.1785031937324199e-22,3.63970788312246e-08,3.2883339885953693e-06
11,12,0.002840323855778608,-1.111109607102847e-05,2.9656050404701682e-08,0.002840323848639508,3.4623062380927996e-05,-8.312969901881043e-08,0.0007571593967315899,3.922332339101262e-05,5.347730828630037e-08,1.6493312866765234e-14,2.425379952380938e-17,3.5248937359344637e-14
12,13,0.00487106155581273,-2.3296316438214463e-05,7.67048072546467e-08,0.004871061535541543,5.520343685629125e-05,-1.9698964578657385e-07,0.001250102818525661,6.681814801347445e-05,1.2029536894220098e-07,1.6459699834558565e-13,4.625631025136012e-14,2.9372476931764316e-13
13,14,0.009576845228995646,-5.863707724777686e-05,2.398187288126129e-07,0.009576845186298415,9.082415845169616e-05,-5.804707138268691e-07,0.002267472309145623,0.0001300175608088702,3.4061518069613845e-07,2.0669959906255642e-12,5.355559089265964e-12,5.038517841148488e-12
14,15,0.02237398069119525,-0.00015723168071127836,4.2961469096930026e-07,0.022373982796054268,0.00010042320531012705,-1.8224306634561608e-06,0.004330874607821107,0.00029366732276923534,1.3892762643064852e-06,1.3025269912338729e-11,6.586863634261759e-10,2.1747905817178757e-10
15,16,0.03855348134398536,-4.7222086809427244e-20,-1.6149774960791894e-06,0.03855350369971144,-4.393660871567268e-05,-2.010976301661642e-06,0.006171272379516768,0.0004714114754632401,3.6119772682853286e-06,5.32777993991693e-14,3.937414764020153e-09,2.071866865442683e-09
16,17,0.022373980691195262,0.00015723168071127855,4.2961469096984236e-07,0.022373982796054268,0.00010042320531012708,-1.8224306634561608e-06,0.004330874607821039,0.0002936673227692377,1.3892762643064852e-06,1.3025269912552014e-11,6.586863634265455e-10,2.1747905817113177e-10
