% Model,Untitled.mph
% Version,COMSOL 6.1.0.357
% Date,"Apr 21 2024, 02:15"
% Dimension,1
% Nodes,10
% Expressions,1
% Description,Electric potential
% cln2x,V2 (V)
-2610,-9.030355412329139E-5
-2030,-1.4283570259490306E-4
-1450,-3.0642793911196935E-4
-870.0000000000001,-0.0014299772971876849
-290.0000000000002,-0.0027162114185021982
290.00000000000045,-3.353972160527897E-4
870.0000000000001,-1.1223901705625339E-4
1450,-4.609943435671359E-5
2030,-2.0860153566182354E-5
2610,-1.1912746372064409E-5
