% Model,Untitled.mph
% Version,COMSOL 6.1.0.357
% Date,"Apr 21 2024, 02:54"
% Dimension,3
% Nodes,1182
% Expressions,1
% Description,Electric potential
% Length unit,µm
% x,y,z,V2 (V)
0,0,0,-5.198254108307375E-5
0,0,-0.8929663049340348,-5.090135057776325E-5
-6.291975369522627E-18,-5.515341292221995E-17,-97.68607703327307,-0.001081872818346358
2.516790147809051E-17,2.206136516888798E-16,-99.99999999999996,-0.0010823203467018947
0,0,-97.00844761996652,-0.001081297788208914
3.1459876847613136E-18,2.7576706461109974E-17,-1.0411371743108546,-5.138987334480976E-5
0,0,-1.1031066682894561,-5.165203667300865E-5
-6.291975369522627E-18,-5.515341292221995E-17,-1.3224020207900296,-5.2728241990462195E-5
0,0,-1.8602157258854035,-5.6696950122376785E-5
6.291975369522627E-18,5.515341292221995E-17,-1.5820678187874149,-5.4389503393978964E-5
6.291975369522627E-18,5.515341292221995E-17,-1.9726883172283605,-5.772494455253457E-5
0,0,-3.996164454215794,-8.188510724537426E-5
-3.1459876847613136E-18,-2.7576706461109974E-17,-3.651894833928715,-7.718419051865928E-5
0,0,-3.425807236063953,-7.420341004325958E-5
1.5729938423806568E-18,1.3788353230554987E-17,-3.100699443500211,-7.005869579270926E-5
-6.291975369522627E-18,-5.515341292221995E-17,-2.7927895015022557,-6.630937219685066E-5
-6.291975369522627E-18,-5.515341292221995E-17,-4.979096343522208,-9.599647704692057E-5
-1.2583950739045254E-17,-1.103068258444399E-16,-5.2535167029935295,-1.0010183075049437E-4
6.291975369522627E-18,5.515341292221995E-17,-5.871189851542603,-1.0944142934342697E-4
6.291975369522627E-18,5.515341292221995E-17,-5.9551471547719,-1.1072586488150004E-4
3.1459876847613136E-18,2.7576706461109974E-17,-4.581921624044874,-9.019179686896673E-5
0,0,-4.8336783532141885,-9.385339604970712E-5
-9.43796305428394E-18,-8.273011938332992E-17,-6.804172056829451,-1.2390459923887902E-4
-3.1459876847613136E-18,-2.7576706461109974E-17,-7.668369913899645,-1.3755775675848269E-4
6.291975369522627E-18,5.515341292221995E-17,-6.659738788082983,-1.2164415861785282E-4
0,0,-8.824643096501752,-1.5602621383122088E-4
-4.71898152714197E-18,-4.136505969166496E-17,-9.154465644653541,-1.6133262842890836E-4
9.43796305428394E-18,8.273011938332992E-17,-10.965299754456188,-1.9066047850338605E-4
-3.1459876847613136E-18,-2.7576706461109974E-17,-9.596050585790136,-1.6845676040368507E-4
6.291975369522627E-18,5.515341292221995E-17,-9.418974703894946,-1.656004971475609E-4
0,0,-9.461050494973712,-1.6627896996910144E-4
-3.1459876847613136E-18,-2.7576706461109974E-17,-11.52161471593611,-1.9970131836354813E-4
0,0,-11.936044188140464,-2.0644524575378752E-4
6.291975369522627E-18,5.515341292221995E-17,-12.3824921823961,-2.1372045706967077E-4
6.291975369522627E-18,5.515341292221995E-17,-12.44502650470911,-2.1473929328399546E-4
0,0,-12.981275689243963,-2.234749883541779E-4
6.291975369522627E-18,5.515341292221995E-17,-13.976137120476714,-2.3968039073392298E-4
0,0,-14.49815369913032,-2.481848590239715E-4
0,0,-14.822105485208658,-2.5345762077204836E-4
6.291975369522627E-18,5.515341292221995E-17,-15.247450683840915,-2.603742033153063E-4
0,0,-16.685412697121357,-2.8371560161172786E-4
1.2583950739045254E-17,1.103068258444399E-16,-17.01429865578006,-2.890439262062456E-4
0,0,-17.96161673571269,-3.043650967809927E-4
1.2583950739045254E-17,1.103068258444399E-16,-20.381436789283264,-3.43271526825155E-4
2.516790147809051E-17,2.206136516888798E-16,-20.9653009914802,-3.525996949361488E-4
-1.2583950739045254E-17,-1.103068258444399E-16,-19.620940285301792,-3.310844882533824E-4
-6.291975369522627E-18,-5.515341292221995E-17,-22.113330303287842,-3.708678685309651E-4
6.291975369522627E-18,5.515341292221995E-17,-23.036565546055858,-3.854769077062721E-4
6.291975369522627E-18,5.515341292221995E-17,-23.57977516740271,-3.9404080391479076E-4
-1.2583950739045254E-17,-1.103068258444399E-16,-26.079608354577793,-4.3311668512948325E-4
-1.2583950739045254E-17,-1.103068258444399E-16,-26.11349866857748,-4.336419882336337E-4
0,0,-23.549494443197194,-3.935640835286729E-4
-1.2583950739045254E-17,-1.103068258444399E-16,-28.08648818248459,-4.6404020643121493E-4
0,0,-30.002504443721996,-4.931407442446529E-4
-6.291975369522627E-18,-5.515341292221995E-17,-30.10328699543533,-4.946615539868344E-4
0,0,-30.66476205633888,-5.031123241124045E-4
0,0,-36.40054891114713,-5.870900161692667E-4
0,0,-36.10924880475138,-5.829323580935039E-4
0,0,-35.98294442043162,-5.811261222504734E-4
-1.2583950739045254E-17,-1.103068258444399E-16,-42.33748118624316,-6.6906584836452E-4
6.291975369522627E-18,5.515341292221995E-17,-43.71472198398694,-6.872793606367798E-4
2.516790147809051E-17,2.206136516888798E-16,-36.53048915436559,-5.889435825807961E-4
3.1459876847613136E-17,2.7576706461109974E-16,-41.81708105737672,-6.621057917246015E-4
0,0,-45.72207958447228,-7.132525848389411E-4
1.2583950739045254E-17,1.103068258444399E-16,-48.281264019915064,-7.453673615329485E-4
-1.2583950739045254E-17,-1.103068258444399E-16,-49.540720898270244,-7.607332579983795E-4
2.516790147809051E-17,2.206136516888798E-16,-52.51956672339127,-7.958742407595597E-4
-5.033580295618102E-17,-4.412273033777596E-16,-56.32116950297499,-8.381655002427684E-4
0,0,-56.88186118342257,-8.441515200406677E-4
0,0,-57.21584530404734,-8.476938990577104E-4
0,0,-63.93568893867253,-9.137732727597534E-4
0,0,-65.71312558521785,-9.296687145950904E-4
-2.516790147809051E-17,-2.206136516888798E-16,-64.05776298565763,-9.148847245957926E-4
0,0,-67.73649629681137,-9.468970423444172E-4
0,0,-67.48940991677637,-9.448539778459206E-4
-1.2583950739045254E-17,-1.103068258444399E-16,-68.80925859805319,-9.554926904175564E-4
0,0,-79.12194796268292,-0.0010249895271894104
5.033580295618102E-17,4.412273033777596E-16,-81.62843978535655,-0.0010379690774044647
0,0,-89.59870519810008,-0.0010679715677177509
0,0,-85.62869604228094,-0.0010549381815250125
1.0067160591236203E-16,8.824546067555192E-16,-83.99589094705698,-0.0010484904516721166
0,0,48.81153846153844,-0.0020433245785549245
0,0,49.80769230769231,-0.0020827736900529735
0,0,47.81538461538461,-0.0020037499787985283
0,0,50.80384615384615,-0.0021220952657716096
0,0,46.81923076923077,-0.001964052097028534
0,0,45.82307692307691,-0.0019242332090221618
0,0,44.82692307692307,-0.001884295385792471
0,0,43.830769230769214,-0.0018442410178949459
0,0,37.85384615384615,-0.0016015966256704808
0,0,36.857692307692304,-0.0015607921124859553
0,0,38.849999999999994,-0.001642301327957524
0,0,42.83461538461539,-0.0018040723342043121
0,0,40.84230769230768,-0.0017234012790916932
0,0,41.83846153846154,-0.0017637915402049999
0,0,51.799999999999976,-0.0021612874772179015
0,0,31.876923076923077,-0.0013553645195989808
0,0,30.880769230769225,-0.0013140171731449589
0,0,32.873076923076916,-0.0013966283382424469
0,0,52.79923736892276,-0.0022004688995029545
0,0,29.88461538461538,-0.0012725891529232639
0,0,35.861538461538444,-0.0015198902261583673
0,0,34.865384615384606,-0.0014788938797526399
0,0,26.89615384615384,-0.0011478504315471664
0,0,25.89999999999999,-0.001106129953589479
0,0,33.86923076923076,-0.0014378057077125141
0,0,24.903846153846153,-0.0010643444968460839
0,0,16.934615384615384,-7.281944568148872E-4
0,0,17.93076923076922,-7.703518195476853E-4
0,0,18.926923076923075,-8.124802506244079E-4
0,0,19.92307692307692,-8.545737594015831E-4
0,0,21.91538461538461,-9.386348279409599E-4
0,0,22.911538461538456,-9.80593094608804E-4
0,0,20.91923076923077,-8.96626906717131E-4
0,0,27.89230769230769,-0.001189502621381184
0,0,28.888461538461534,-0.001231083301510863
0,0,15.938461538461539,-6.860148206855824E-4
0,0,23.907692307692308,-0.0010224976513552508
0,0,39.84615384615385,-0.0016829037393374044
0,0,53.79847473784555,-0.0022395157332083557
0,0,1.9923076923076906,-1.0954891091526576E-4
0,0,2.988461538461536,-1.4621380317110522E-4
0,0,11.95384615384615,-5.172531282164795E-4
0,0,10.957692307692303,-4.7511556671566677E-4
0,0,12.949999999999994,-5.594274448165362E-4
0,0,9.96153846153846,-4.3303739854012727E-4
0,0,5.976923076923079,-2.6618593153309393E-4
0,0,4.9807692307692335,-2.2528619481990386E-4
0,0,8.965384615384613,-3.9104979971690297E-4
0,0,14.942307692307685,-6.438206980974354E-4
0,0,3.984615384615381,-1.8512473370794634E-4
0,0,54.79771210676833,-0.002278426031836982
0,0,0.9961538461538453,-7.708636331640043E-5
0,0,13.946153846153841,-6.016211970095421E-4
0,0,7.969230769230769,-3.491967117320092E-4
0,0,6.973076923076924,-3.0754171156029147E-4
0,0,56.79618684461389,-0.002355828768392923
0,0,55.796949475691136,-0.0023171977109909874
0,0,60.793136320305045,-0.0025089099806101848
0,0,59.793898951382275,-0.0024708600570273825
0,0,58.79466158245948,-0.00243266196260546
0,0,57.7954242135367,-0.0023943175397331488
0,0,63.7908484270734,-0.0026221530853013835
0,0,62.791611058150615,-0.0025845581198385946
0,0,61.79237368922783,-0.0025468099439687228
0,0,64.79008579599618,-0.0026595930452219716
0,0,69.78627264061011,-0.0028444091261603135
0,0,68.7870352716873,-0.0028077689737184587
0,0,65.78932316491897,-0.002696876160700541
0,0,67.78779790276454,-0.0027709656776960506
0,0,66.78856053384175,-0.0027340008463565355
0,0,75.78169685414682,-0.0030607453840464415
0,0,74.78245948522398,-0.003025113594710887
0,0,76.78093422306955,-0.003096204277437453
0,0,73.78322211630125,-0.0029893103281025636
0,0,72.78398474737844,-0.002953336882976757
0,0,71.78474737845566,-0.0029171945599526738
0,0,70.78551000953286,-0.002880884791258345
0,0,85.77407054337465,-0.0034073595374300124
0,0,84.77483317445183,-0.0033735089839667535
0,0,82.77635843660626,-0.0033052597395078665
0,0,83.77559580552906,-0.003339475404429839
0,0,81.77712106768352,-0.003270862930303657
0,0,80.77788369876072,-0.0032362863163520644
0,0,79.77864632983795,-0.0032015311586401285
0,0,78.77940896091513,-0.003166598300727472
0,0,77.78017159199237,-0.0031314889305992092
0,0,88.77178265014301,-0.0035078042894289042
0,0,89.77102001906579,-0.0035409138416584254
0,0,87.7725452812202,-0.0034745080061961632
0,0,90.77025738798858,-0.003573835657472652
0,0,86.77330791229744,-0.003441026123380151
0,0,91.76949475691133,-0.0036065689934139896
0,0,94.7672068636797,-0.003703631422129687
0,0,93.76796949475691,-0.003671467733232477
0,0,119.74814108674926,-0.004444231936286548
0,0,120.74737845567205,-0.004471278599810478
0,0,92.76873212583408,-0.0036391133194054975
0,0,95.7664442326025,-0.003735603691114439
0,0,108.75653002859866,-0.004133567464652981
0,0,107.7572926596759,-0.004104132884540756
0,0,104.75958055290754,-0.004014643417625882
0,0,103.76034318398476,-0.0039844195926699655
0,0,106.75805529075309,-0.004074500458393228
0,0,102.76110581506195,-0.003953999410879203
0,0,97.76491897044806,-0.0037989714351415686
0,0,98.76415633937079,-0.003830365684722722
0,0,99.76339370829362,-0.003861566128167328
0,0,114.75195424213535,-0.004306007757202752
0,0,113.75271687321258,-0.004277764901488032
0,0,111.75424213536701,-0.004220681867297636
0,0,112.75347950428981,-0.004249322890594686
0,0,123.74509056244038,-0.004551222347894652
0,0,122.74585319351763,-0.004524773653955941
0,0,121.74661582459483,-0.004498125825472414
0,0,130.7397521448999,-0.004730788906930391
0,0,131.73898951382267,-0.004755647223839481
0,0,129.74051477597712,-0.004705732423617476
0,0,132.7382268827454,-0.004780307341248818
0,0,128.7412774070543,-0.004680477698541499
0,0,127.74204003813152,-0.004655024465399702
0,0,126.74280266920877,-0.004629372436174481
0,0,110.7550047664442,-0.004191842106296679
0,0,146.72755004766444,-0.005104945340408495
0,0,147.72678741658726,-0.00512667824583869
0,0,96.76568160152526,-0.003767383937113209
0,0,100.7626310772164,-0.0038925720590942898
0,0,105.75881792183029,-0.004044670491170904
0,0,101.76186844613918,-0.0039233834009495
0,0,118.7489037178265,-0.004416986037939384
0,0,117.7496663489037,-0.004389540444733132
0,0,109.75576739752145,-0.004162803999587958
0,0,116.75042897998094,-0.004361895580414397
0,0,115.75119161105813,-0.004334051320590414
0,0,135.73593898951384,-0.004853102090685136
0,0,136.73517635843655,-0.004876973082899414
0,0,134.73670162059108,-0.004829034519009431
0,0,137.73441372735937,-0.004900647573279865
0,0,138.7336510962822,-0.004924126084576967
0,0,133.73746425166826,-0.004804769727453642
0,0,124.74432793136315,-0.0045774715333613755
0,0,125.74356530028601,-0.004603521523359589
0,0,139.73288846520498,-0.004947408628535822
