,id,c_x0,c_x1,c_x2,c_y0,c_y1,c_y2,c_z0,c_z1,c_z2,residuals_x,residuals_y,residuals_z
0,1,0.14797220851519824,-2.8920715756691507e-19,-1.0392339449541986e-09,0.1479726259284301,-0.0008923594475903572,-3.38426341563821e-05,0.14797264134164823,-0.0027329458034615972,3.350364761241795e-05,1.1788799374687088e-22,3.2847895328275245e-06,3.6282027841702356e-08
1,2,0.0028407663367627164,-1.1112795872449105e-05,2.9660462993561862e-08,0.002840766357718129,4.45433701602664e-05,5.347406353352661e-08,0.0028407663296250818,3.46219239522293e-05,-8.313086636434788e-08,1.6498029228070717e-14,3.5253087163061867e-14,2.4415949393731194e-17
2,3,0.004871810450197618,-2.329978148890103e-05,7.671562875544326e-08,0.004871810530248326,7.87852578037922e-05,1.2028579532491143e-07,0.0048718104299334125,5.520061170976359e-05,-1.9699089254152465e-07,1.6463979559247582e-13,2.9376876326875206e-13,4.6283143809094804e-14
3,4,0.009578268909694064,-5.864515775751041e-05,2.398475422151774e-07,0.00957826931789788,0.00016390142283873155,3.405744684663813e-07,0.009578268867047227,9.081501208723157e-05,-5.804588213032414e-07,2.0673677771754125e-12,5.039527749710067e-12,5.356799987525567e-12
4,5,0.02237695515540932,-0.00015724808515055362,4.2962809854805843e-07,0.022376957608999985,0.000431861880398837,1.3889791276104862e-06,0.022376957260338035,0.00010038353028372245,-1.8221467728437131e-06,1.3029867553295826e-11,2.1754575702838149e-10,6.58584340748748e-10
5,6,0.038557877706735334,-4.7222086809427244e-20,-1.6151021877074108e-06,0.03855789808891678,0.0008306858402313647,3.610912308558154e-06,0.03855790005698637,-4.402682917342508e-05,-2.009782793457422e-06,5.3284766813016257e-14,2.0727539082104263e-09,3.9344719523559425e-09
6,7,0.022376955155409335,0.0001572480851505531,4.296280985475163e-07,0.022376957608999985,0.0004318618803988371,1.3889791276104862e-06,0.02237695726033804,0.00010038353028372247,-1.8221467728434556e-06,1.3029867554270952e-11,2.1754575702803138e-10,6.585843407480249e-10
7,8,0.009578268909694066,5.8645157757510416e-05,2.3984754221544844e-07,0.00957826931789788,0.00016390142283873146,3.405744684663813e-07,0.00957826886704723,9.081501208723156e-05,-5.804588213032414e-07,2.0673677771210694e-12,5.0395277497861116e-12,5.356799987455241e-12
8,9,0.0048718104501976126,2.3299781488901025e-05,7.671562875544326e-08,0.004871810530248327,7.878525780379216e-05,1.2028579532484367e-07,0.004871810429933414,5.5200611709763545e-05,-1.9699089254159242e-07,1.646397955851781e-13,2.9376876325381035e-13,4.6283143806307266e-14
9,10,0.002840766336762719,1.1112795872449109e-05,2.966046299359405e-08,0.0028407663577181296,4.454337016026639e-05,5.3474063533492727e-08,0.0028407663296250818,3.4621923952229314e-05,-8.313086636434788e-08,1.6498029226642077e-14,3.525308716198671e-14,2.4415949311998638e-17
10,11,0.1479722085151983,-6.2545194066665805e-19,-1.0392339449541986e-09,0.14797264134164823,-0.0027329458034615977,3.350364761241795e-05,0.1479726259284301,-0.0008923594475903573,-3.384263415638427e-05,1.178850208993381e-22,3.628202784169777e-08,3.2847895328275216e-06
11,12,0.0028407663367627156,-1.1112795872449085e-05,2.966046299359405e-08,0.002840766329625081,3.462192395222937e-05,-8.313086636432078e-08,0.002840766357718128,4.4543370160266415e-05,5.3474063533492727e-08,1.6498029231383762e-14,2.4415949155138888e-17,3.5253087157327984e-14
12,13,0.004871810450197617,-2.3299781488901022e-05,7.671562875544326e-08,0.004871810429933414,5.520061170976367e-05,-1.9699089254159242e-07,0.004871810530248326,7.878525780379224e-05,1.202857953247759e-07,1.6463979558641432e-13,4.6283143808229e-14,2.9376876325776263e-13
13,14,0.00957826890969406,-5.864515775751038e-05,2.3984754221504864e-07,0.00957826886704723,9.081501208723158e-05,-5.804588213033769e-07,0.009578269317897879,0.0001639014228387315,3.405744684663813e-07,2.0673677771595212e-12,5.356799987382442e-12,5.039527749701262e-12
14,15,0.022376955155409318,-0.00015724808515055362,4.2962809854805843e-07,0.02237695726033804,0.00010038353028372245,-1.8221467728434556e-06,0.022376957608999985,0.00043186188039883713,1.3889791276107573e-06,1.302986755334912e-11,6.585843407479236e-10,2.1754575702806835e-10
15,16,0.03855787770673533,1.7724164421296235e-19,-1.6151021877074108e-06,0.03855790005698638,-4.402682917342525e-05,-2.009782793457422e-06,0.03855789808891678,0.0008306858402313645,3.610912308558154e-06,5.328476680365384e-14,3.9344719523552104e-09,2.0727539082126907e-09
16,17,0.022376955155409328,0.00015724808515055333,4.296280985477874e-07,0.02237695726033804,0.00010038353028372235,-1.8221467728434556e-06,0.022376957608999985,0.0004318618803988371,1.3889791276104862e-06,1.3029867554269172e-11,6.585843407481612e-10,2.1754575702828582e-10
17,18,0.009578268909694064,5.864515775751043e-05,2.398475422153129e-07,0.00957826886704723,9.081501208723152e-05,-5.804588213033769e-07,0.00957826931789788,0.00016390142283873152,3.405744684663813e-07,2.0673677771134515e-12,5.3567999875065394e-12,5.03952774973894e-12
18,19,0.0048718104501976126,2.3299781488901035e-05,7.671562875544326e-08,0.004871810429933414,5.520061170976362e-05,-1.9699089254159242e-07,0.004871810530248327,7.878525780379234e-05,1.2028579532484367e-07,1.6463979558268913e-13,4.628314380831444e-14,2.937687632597183e-13
19,20,0.0028407663367627177,1.1112795872449097e-05,2.9660462993561862e-08,0.0028407663296250805,3.462192395222942e-05,-8.313086636434788e-08,0.0028407663577181296,4.454337016026638e-05,5.3474063533492727e-08,1.649802922969659e-14,2.4415949132181967e-17,3.5253087160949676e-14
20,r,0.40809415951266165,-2.5934246329517804e-18,-6.150568354289672e-09,0.4080932565296978,-1.3180846188919401e-05,3.641935752714977e-07,0.4080932565296978,-1.3180846188919693e-05,3.641935752714977e-07,4.007218340272819e-21,2.7730247141118723e-06,2.773024714111759e-06
21,gnd,0.12434061089635172,-4.156814188650479e-19,8.091505699852793e-07,0.12434061100441746,0.001747242590136551,-4.045408137725269e-07,0.12434061100441747,0.0017472425901365512,-4.045408137703585e-07,1.3254001136487647e-16,9.676145129761897e-12,9.676145130187176e-12
