,id,c_x0,c_x1,c_x2,c_y0,c_y1,c_y2,c_z0,c_z1,c_z2,residuals_x,residuals_y,residuals_z
0,1,0.1152116347650699,-4.535434899351748e-08,1.2031646855662861e-11,0.11521193499184494,-0.0006884325622703534,-2.5049507065497308e-05,0.11521194662413238,-0.0020630633308147397,2.4804712889986424e-05,1.3868469501048778e-22,1.7875396773861463e-06,1.997588425470892e-08
1,2,0.0029780838913657753,-1.1107723713127967e-05,2.9056360040536828e-08,0.0029780839112737464,4.4990114613006167e-05,5.315560278604855e-08,0.0029780838848612397,3.4749240244835916e-05,-8.220849564050158e-08,1.5520159789158703e-14,3.140408739608708e-14,1.7508022546746062e-16
2,3,0.004997206500269104,-2.2978664674680332e-05,7.43411366549009e-08,0.004997206575127609,7.787203027070814e-05,1.1617357137550389e-07,0.0049972064824038605,5.4088374237060315e-05,-1.9050513747368922e-07,1.504394282190568e-13,2.6193732024281575e-13,5.13938141669292e-14
3,4,0.00959977135922532,-5.68401291794451e-05,2.2741025756442123e-07,0.009599771727788926,0.0001583471267992742,3.1924035184344385e-07,0.009599771327430973,8.639596848464533e-05,-5.466897138228972e-07,1.7586588947752987e-12,4.413166333588994e-12,4.9818747493760085e-12
4,5,0.02181358397712533,-0.00014815802881123737,3.892036254215907e-07,0.021813586043419566,0.0004054053615225998,1.2488720573253578e-06,0.02181358582415267,9.060797465464786e-05,-1.6411796605839021e-06,1.1393382398412488e-11,1.7944002114844351e-10,5.258363229125312e-10
5,6,0.03698854824846899,1.0080847490265991e-07,-1.5249363346370135e-06,0.03698856595016494,0.0007672734623066186,3.1819338755269266e-06,0.036988567426029864,-4.9887133370873704e-05,-1.6686653063820194e-06,5.206490057742754e-14,1.6847950327590386e-09,2.7946258874651087e-09
6,7,0.021778689489585265,0.0001481723347027416,3.892625030135202e-07,0.021778691555888224,0.0004048642186214261,1.2479371919935632e-06,0.021778691336582116,9.020041745410679e-05,-1.6403036669576594e-06,1.1393217460310015e-11,1.7947961210118465e-10,5.257560583040265e-10
7,8,0.009564155169476113,5.683837973997231e-05,2.2745804961488294e-07,0.009564155538044692,0.0001577978184367311,3.1833443746987064e-07,0.009564155137658892,8.597675073281087e-05,-5.45831585679104e-07,1.7588164250396097e-12,4.418696645094566e-12,4.974762933543738e-12
8,9,0.00496295247867869,2.2965157105145297e-05,7.43731611480148e-08,0.004962952553537965,7.734764402684051e-05,1.1536389125466149e-07,0.004962952460799997,5.36809935329667e-05,-1.8972747673426935e-07,1.5049246592815865e-13,2.6300530447230255e-13,5.0805468935361553e-14
9,10,0.0029465653749052327,1.1087214417555147e-05,2.9073177668542636e-08,0.0029465653948107257,4.4511682587289034e-05,5.247391520684741e-08,0.0029465653683951334,3.437001135071828e-05,-8.154362164671615e-08,1.5534852973158277e-14,3.1671020159264584e-14,1.503213913856455e-16
10,11,0.1152116347650699,-4.535434899360678e-08,1.2031646855662861e-11,0.11521194662413238,-0.002063063330814738,2.4804712889986424e-05,0.11521193499184494,-0.000688432562270354,-2.5049507065497308e-05,1.3868707771852413e-22,1.9975884254727698e-08,1.7875396773861465e-06
11,12,0.0029780838913657745,-1.1107723713127879e-05,2.9056360040602896e-08,0.00297808388486124,3.4749240244835726e-05,-8.220849564050158e-08,0.002978083911273748,4.499011461300618e-05,5.315560278611631e-08,1.5520159789187228e-14,1.75080226144785e-16,3.140408739660714e-14
